id,nume,kcal,proteine,carbo,grasimi,fibre,pret_per_kg,sursa,nota
piept_pui,"Piept de pui fără piele, crud",120,22.5,0,2.62,0,35,USDA FDC 171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw; preț estimat 2026"
pulpe_pui,"Pulpe de pui cu piele, fără os, crude",221,16.5,0.25,16.6,0,25,USDA FDC 172385,"Chicken, broilers or fryers, thigh, meat and skin, raw; cântărește fără os; cu os, carnea e ~75% din greutate; preț estimat 2026"
pui_intreg,"Pui întreg, carne cu piele, fără oase, crud",215,18.6,0,15.1,0,17,USDA FDC 171447,"Chicken, broilers or fryers, meat and skin, raw; cântărește carnea fără oase; un pui întreg are ~70% carne cu piele; preț estimat 2026"
carne_tocata_vita,"Carne tocată de vită (80/20), crudă",254,17.2,0,20,0,45,USDA FDC 174036,"Beef, ground, 80% lean meat / 20% fat, raw; preț estimat 2026"
carne_tocata_porc,"Carne tocată de porc, crudă",263,16.9,0,21.2,0,30,USDA FDC 167902,"Pork, fresh, ground, raw; preț estimat 2026"
cotlet_porc,"Cotlet de porc fără os, crud",201,21.1,0,13,0,35,USDA FDC 168286,"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, raw; preț estimat 2026"
oua,"Ou de găină întreg, crud (fără coajă)",143,12.6,0.72,9.51,0,26,USDA FDC 171287,"Egg, whole, raw, fresh; preț estimat 2026"
lapte,"Lapte de vacă integral (3,25%)",61,3.15,4.8,3.25,0,8,USDA FDC 171265,"Milk, whole, 3.25% milkfat, with added vitamin D; preț estimat 2026"
smantana,"Smântână (tip sour cream, ~20% grăsime)",198,2.44,4.63,19.4,0,20,USDA FDC 171257,"Cream, sour, cultured; smântâna românească de 20% e apropiată; pentru 12% ia valorile de pe etichetă; preț estimat 2026"
iaurt,Iaurt simplu din lapte integral,61,3.47,4.66,3.25,0,12,USDA FDC 171284,"Yogurt, plain, whole milk; preț estimat 2026"
unt,Unt fără sare,717,0.85,0.06,81.1,0,50,USDA FDC 173430,"Butter, without salt; preț estimat 2026"
orez,"Orez alb cu bob lung, crud",365,7.13,80,0.66,1.3,8,USDA FDC 169756,"Rice, white, long-grain, regular, raw, unenriched; preț estimat 2026"
paste,Paste uscate,371,13,74.7,1.51,3.2,10,USDA FDC 168927,"Pasta, dry, unenriched; preț estimat 2026"
faina,Făină albă de grâu,364,10.3,76.3,0.98,2.7,4,USDA FDC 169761,"Wheat flour, white, all-purpose, unenriched; preț estimat 2026"
malai,Mălai (făină de porumb integrală),362,8.12,76.9,3.59,7.3,5,USDA FDC 169697,"Cornmeal, whole-grain, yellow; preț estimat 2026"
pesmet,Pesmet simplu,395,13.4,72,5.3,4.5,12,USDA FDC 174928,"Bread, crumbs, dry, grated, plain; preț estimat 2026"
cartofi,"Cartofi cruzi, cu coajă",77,2.05,17.5,0.09,2.1,4,USDA FDC 170026,"Potatoes, flesh and skin, raw; preț estimat 2026"
ceapa,"Ceapă, crudă",40,1.1,9.34,0.1,1.7,4,USDA FDC 170000,"Onions, raw; preț estimat 2026"
usturoi,"Usturoi, crud",149,6.36,33.1,0.5,2.1,25,USDA FDC 169230,"Garlic, raw; preț estimat 2026"
morcov,"Morcov, crud",41,0.93,9.58,0.24,2.8,4,USDA FDC 170393,"Carrots, raw; preț estimat 2026"
telina_radacina,"Țelină rădăcină, crudă",42,1.5,9.2,0.3,1.8,8,USDA FDC 170400,"Celeriac, raw; preț estimat 2026"
pastarnac,"Păstârnac, crud",75,1.2,18,0.3,4.9,10,USDA FDC 170417,"Parsnips, raw; preț estimat 2026"
rosii,"Roșii, crude",18,0.88,3.89,0.2,1.2,10,USDA FDC 170457,"Tomatoes, red, ripe, raw, year round average; preț estimat 2026"
rosii_conserva,"Roșii întregi în suc, conservă",16,0.79,3.47,0.25,1.9,10,USDA FDC 170051,"Tomatoes, red, ripe, canned, packed in tomato juice; preț estimat 2026"
bulion,Pastă de tomate (bulion),82,4.32,18.9,0.47,4.1,15,USDA FDC 170459,"Tomato products, canned, paste, without salt added; preț estimat 2026"
ardei_gras,"Ardei gras roșu, crud",26,0.99,6.03,0.3,2.1,12,USDA FDC 170108,"Peppers, sweet, red, raw; preț estimat 2026"
varza,"Varză albă, crudă",25,1.28,5.8,0.1,2.5,3,USDA FDC 169975,"Cabbage, raw; preț estimat 2026"
ciuperci,"Ciuperci champignon albe, crude",22,3.09,3.26,0.34,1,15,USDA FDC 169251,"Mushrooms, white, raw; preț estimat 2026"
fasole_boabe,"Fasole boabe albă, uscată",333,23.4,60.3,0.85,15.2,12,USDA FDC 175202,"Beans, white, mature seeds, raw; preț estimat 2026"
